siteNumber,longtitude,latitude
2,120.2827988,27.69739914
5,120.5932999,28.0291996
10,120.5875015,28.04229927
11,120.3277969,27.63879967
21,120.6404037,27.75769997
24,120.6483994,28.04019928
25,120.6272964,27.77409935
31,120.4757004,27.56819916
36,120.6771011,27.95730019
40,120.5313034,27.54840088
41,120.5606003,27.67300034
54,120.2201996,27.56419945
58,120.6008987,28.02709961
60,120.3244019,27.77700043
74,120.6038971,28.01849937
82,120.7275009,28.00029945
86,120.5646973,27.81749916
87,120.6675034,28.01510048
94,120.7013016,27.97769928
100,121.0211029,28.20389938
103,120.5,28.01390076
108,120.4506989,27.98690033
113,120.8338013,27.92410088
122,120.6628036,28.00469971
123,120.6271973,27.97240067
124,120.6271973,27.97229958
127,120.8350983,27.9510994
133,120.6447983,27.78190041
136,120.6809998,27.99889946
144,120.6712036,27.99440002
145,120.6809998,27.99740028
153,120.6675034,27.77770042
166,120.5908966,28.03319931
172,120.4313965,27.2758007
199,120.3320999,27.46310043
205,120.4965973,27.82780075
207,120.8155975,27.93370056
208,120.652298,27.78219986
209,120.6335983,28.02980042
215,120.8852997,28.03829956
217,120.4429016,28.20929909
219,120.4832001,28.13570023
227,120.6240997,27.77739906
230,121.1345978,28.32229996
232,120.6930008,27.83480072
244,120.5347977,27.51790047
248,119.7839966,27.66449928
251,120.803299,28.04630089
256,120.8326035,27.91160011
260,120.8013992,28.31649971
265,119.8016968,27.69510078
266,120.6867981,27.83329964
276,120.6776962,27.98590088
285,120.7867966,27.84250069
286,120.6556015,27.86840057
287,120.6492996,27.99279976
292,120.3957977,27.50690079
293,120.5847015,28.07349968
296,120.8079987,27.88570023
307,120.6673965,27.88529968
314,120.9449997,28.04759979
340,120.4039993,27.60479927
344,120.5790024,27.8689003
354,120.8090973,28.02359962
362,120.6996994,28.39529991
364,120.7938995,27.8458004
378,120.5044022,27.26399994
382,120.6492004,28.00289917
387,120.7153015,28.00720024
399,120.6763992,27.83130074
403,120.6360016,27.60090065
419,120.4557037,27.26819992
445,120.5475998,27.57390022
456,120.4757004,27.57789993
469,120.3799973,27.64769936
479,120.6820984,27.97380066
487,120.3787994,27.66399956
489,120.789299,27.86630058
493,120.471199,28.09110069
495,120.3967972,27.50049973
500,120.1681976,27.6019001
510,120.3085022,27.63220024
516,120.7245026,27.99180031
525,120.6216965,28.03989983
527,120.6308975,28.00230026
529,120.6269989,27.77639961
533,120.6595001,27.78039932
545,120.6877975,28.09460068
552,120.3359985,27.67359924
556,120.6613007,27.77210045
566,120.6928024,27.99860001
568,120.5542984,27.67700005
580,120.4506989,27.78470039
583,120.850502,28.0734005
584,120.6761017,27.78499985
590,120.7334976,27.96759987
598,120.8628998,28.05069923
600,120.5168991,27.98609924
602,120.6679993,27.94829941
611,120.7677994,28.03619957
618,120.7332993,28.34410095
621,120.8368988,27.92749977
623,120.4220963,27.3288002
627,120.6675034,28.00989914
628,120.6675034,28.00979996
633,120.5799026,27.65410042
644,120.6828003,27.98579979
665,120.6232986,28.04750061
689,119.7162018,27.5571003
698,120.6530991,28.01140022
699,120.6529007,28.0237999
700,120.7113037,27.99979973
713,120.0075989,27.46920013
717,120.5997009,27.75740051
724,120.6415024,27.77459908
741,120.6965027,27.91609955
761,120.9247971,28.0855999
762,120.8404999,27.92079926
763,120.6320038,27.77729988
772,120.6008987,28.0163002
787,120.4788971,27.55529976
791,120.6535034,28.02420044
799,120.6363983,27.78809929
801,121.2220993,28.41080093
816,120.629097,27.77059937
823,120.5242004,27.63949966
830,120.9023972,28.05480003
843,120.6169968,27.76300049
857,120.6753998,27.86669922
869,120.5542984,27.67720032
872,120.5871964,28.02820015
877,120.8905029,28.04759979
879,120.7414017,27.96850014
887,120.575798,27.75230026
893,120.9726028,28.10379982
914,120.487999,27.84009933
920,120.5539017,28.10470009
924,120.7576981,27.94269943
927,120.7032013,27.9375
933,120.6128998,28.07360077
938,120.7350998,27.97870064
940,120.6800995,28.0522995
953,120.441597,27.81019974
957,120.3239975,27.63660049
